Organisme,Description,Secteur,Courriel,Téléphone
Centre Communautaire Multi-Ethnique De Montréal-Nord,"Aide à l'intégration des membres des communautés culturelles. Comptoir alimentaire au 6343, rue Pierre, H1G 2P2. Information et référence. Activités socioculturelles. Traduction et assermentation. Ca",Autres missions sociales,ccmemn13@yahoo.ca,514 329-5044
Cuisine Collective Hochelaga-Maisonneuve,Entreprise d'insertion et d'économie sociale. Cuisine collective. Traiteur. Marché Solidaire Hochelaga-Maisonneuve. La Collective: épicerie solidaire. Ferme agricole. Participation à divers plateaux d...,Bien-être alimentaire,administration@lacchm.com,514 529-0789
Mission Bon Accueil - Marché Bon Accueil De Montréal-Nord,"Distribution de nourriture, avec possibilité de livraison pour les personnes admissibles. Inscription en ligne: clients.missionba.com",Bien-être alimentaire,marchebonaccueil@missionba.com,514 937-9317 poste 5
Projaide,Banque alimentaire. Cuisine communautaire pour personnes aînées et nouvelles arrivantes. Nourrissons nos personnes aînées: livraison de paniers de nourriture sur une base hebdomadaire. Sécurité Alimen...,Bien-être alimentaire,info@projaide.com,438 501-7227
Option Consommateurs,"Information et défense des droits en matière de consommation, crédit et endettement. Consultations budgétaires pour aider les consommateurs à équilibrer leur budget. Information juridique aux consomma...",Défense des droits,info@option-consommateurs.org,1 888 412-1313
Alliance De Commerces Mexicains À Montréal,"Services diversifiés aux communautés de la diversité ethnoculturelle. Banque alimentaire, formulaire d'inscription en ligne: bookeo.com/acomm-ca/customer Café latino communautaire. Formation professio...",Développement communautaire,info@acomm.ca,514 886-8141
Parole D'exclues,"Lutte contre la pauvreté et l'exclusion sociale par la mobilisation citoyenne. Mobilisation citoyenne et recherche-action sur des enjeux tels que le racisme, la santé mentale, l'aide alimentaire, l'ai...",Développement communautaire,communications@parole-dexclues.ca,514 759-0726
Perspectives Jeunesse,"Lutte au décrochage scolaire. Plan C volet d'accompagnement individuel: soutien, socialisation et mise en action des jeunes décrocheurs dans une perspective de retour à l'école ou d'insertion sur le m...",Éducation et formation,direction@perspectivesjeunesse.org,514 303-0599
Maisonnée (La) - Accueil - Intégration - Emploi,"Assistance matérielle Dépannage alimentaire régulier et d'urgence. Groupes d'achats.Emploi Ateliers de recherche d'emploi, rédaction de CV, suivi individuel, placement en stage et en emploi. Aide à la...",Emploi,communication@lamaisonnee.org,514 271-3533
Habitations Nouvelles Avenues,"Soutien communautaire, logements subventionnés et non-subventionnés pour personnes aînées. Appartements 3½ avec surveillance 24 heures, 7 jours. Forfait services: dîners fournis les jours ouvrables, c...",Logement,admin@hnave.com,514 376-9141
